id,name,encoder,decoder,muxer,demuxer,protocol,bitfilter,filter,parser,hwaccel,indev,outdev
60,a64,,,1,,,,,,,,
79,a64multi,1,,,,,,,,,,
412,a64multi5,1,,,,,,,,,,
341,aac,1,1,,1,,,,1,,,
90,aac_adtstoasc,,,,,,1,,,,,
145,aac_latm,,1,,,,,,1,,,
199,aasc,,1,,,,,,,,,
480,ac3,1,1,1,1,,,,1,,,
221,ac3_fixed,1,,,,,,,,,,
29,ac3_float,1,,,,,,,,,,
7,adpcm_4xm,,1,,,,,,,,,
365,adpcm_adx,1,1,,,,,,,,,
340,adpcm_ct,,1,,,,,,,,,
147,adpcm_ea,,1,,,,,,,,,
479,adpcm_ea_maxis_xa,,1,,,,,,,,,
287,adpcm_ea_r1,,1,,,,,,,,,
92,adpcm_ea_r2,,1,,,,,,,,,
428,adpcm_ea_r3,,1,,,,,,,,,
236,adpcm_ea_xas,,1,,,,,,,,,
168,adpcm_g722,1,1,,,,,,,,,
504,adpcm_g726,1,1,,,,,,,,,
42,adpcm_ima_amv,,1,,,,,,,,,
377,adpcm_ima_dk3,,1,,,,,,,,,
181,adpcm_ima_dk4,,1,,,,,,,,,
517,adpcm_ima_ea_eacs,,1,,,,,,,,,
323,adpcm_ima_ea_sead,,1,,,,,,,,,
131,adpcm_ima_iss,,1,,,,,,,,,
308,adpcm_ima_qt,1,1,,,,,,,,,
465,adpcm_ima_smjpeg,,1,,,,,,,,,
118,adpcm_ima_wav,1,1,,,,,,,,,
273,adpcm_ima_ws,,1,,,,,,,,,
453,adpcm_ms,1,1,,,,,,,,,
78,adpcm_sbpro_2,,1,,,,,,,,,
409,adpcm_sbpro_3,,1,,,,,,,,,
220,adpcm_sbpro_4,,1,,,,,,,,,
260,adpcm_swf,1,1,,,,,,,,,
25,adpcm_thp,,1,,,,,,,,,
360,adpcm_xa,,1,,,,,,,,,
66,adpcm_yamaha,1,1,,,,,,,,,
396,adts,,,1,,,,,,,,
379,aea,,,,1,,,,,,,
187,aiff,,,1,1,,,,,,,
397,alac,1,1,,,,,,,,,
167,als,,1,,,,,,,,,
18,alsa,,,,,,,,,,1,1
520,amr,,,1,1,,,,,,,
501,amrnb,,1,,,,,,,,,
307,amrwb,,1,,,,,,,,,
113,amv,,1,,,,,,,,,
329,anm,,1,,1,,,,,,,
449,ansi,,1,,,,,,,,,
275,anull,,,,,,,1,,,,
82,anullsink,,,,,,,1,,,,
415,anullsrc,,,,,,,1,,,,
132,apc,,,,1,,,,,,,
468,ape,,1,,1,,,,,,,
305,applehttp,,,,1,1,,,,,,
277,asf,,,1,1,,,,,,,
202,asf_stream,,,1,,,,,,,,
81,ass,1,1,1,1,,,,,,,
209,asv1,1,1,,,,,,,,,
13,asv2,1,1,,,,,,,,,
254,atrac1,,1,,,,,,,,,
61,atrac3,,1,,,,,,,,,
414,au,,,1,1,,,,,,,
394,aura,,1,,,,,,,,,
203,aura2,,1,,,,,,,,,
222,avi,,,1,1,,,,,,,
28,avisynth,,,,1,,,,,,,
9,avm2,,,1,,,,,,,,
362,avs,,1,,1,,,,,,,
169,bethsoftvid,,1,,1,,,,,,,
505,bfi,,1,,1,,,,,,,
309,bink,,1,,1,,,,,,,
11,binkaudio_dct,,1,,,,,,,,,
344,binkaudio_rdft,,1,,,,,,,,,
107,bktr,,,,,,,,,,1,
223,blackframe,,,,,,,1,,,,
349,bmp,1,1,,,,,,,,,
31,buffer,,,,,,,1,,,,
363,buffersink,,,,,,,1,,,,
119,c93,,1,,1,,,,,,,
450,caf,,,1,1,,,,,,,
151,cavs,,1,,,,,,,,,
285,cavsvideo,,,1,1,,,,1,,,
257,cdg,,,,1,,,,,,,
484,cdgraphics,,1,,,,,,,,,
442,chomp,,,,,,1,,,,,
292,cinepak,,1,,,,,,,,,
98,cljr,,1,,,,,,,,,
170,color,,,,,,,1,,,,
268,concat,,,,,1,,,,,,
432,cook,,1,,,,,,,,,
