id,name,description,work_flow,audio_codec,audio_channel,audio_data_rate,audio_format,audio_sample_rate,audio_sample_size,video_codec,video_bit_rate,video_bit_rate_max_percent,video_bit_rate_method,video_frame_rate,video_frame_size,video_key_frame,adaptive_bframe_placement,adaptive_quant_brightness_base,adaptive_quant_complexity_base,adaptive_quant_contrast_base,auto_level,bframe_pyramid,bitrate_buffer,black_normalization_level,cabac,color_range_and_coeffients,drop_frame_time_code,field_order,fixed_iframe_distance,hrd_conformance,idr_rate,interlace_mode,level,max_bframe_size,max_brframe_size,max_iframe_size,max_pframe_size,number_of_bframes,number_of_reference_frames,number_of_slices,performance,pixel_aspect_ratio,profile,use_bslice_as_reference,vbv_buffer_initial,vbv_buffer_target
33,MOV_h264_1200Kbps_480p.spfx,"QuickTime video for progressive download on fast Wi-Fi network connections.","","applaac ",ChannelModeStereo,0,None,44100,16,MCptH264,990000,150%,BitRateModeTwoPassVBR,-1,852x480,10/Seconds,True,0,0,0,True,False,185624,True,CAVLC,"Range 16-235, ITU-R Rec. BT.470-2",,"Top Field First",True,False,1,Progressive,3.1,0,0,0,0,0,,0,10,"Square Pixels",Baseline,False,0,100
34,MOV_h264_2000Kbps_720p.spfx,"QuickTime video for progressive download on slow broadband network connections.","","applaac ",ChannelModeStereo,0,None,44100,16,MCptH264,990000,150%,BitRateModeTwoPassVBR,-1,852x480,10/Seconds,True,0,0,0,True,False,185624,True,CABAC,"Range 16-235, ITU-R Rec. BT.470-2",,"Top Field First",True,False,1,Progressive,3.1,0,0,0,0,0,,0,10,"Square Pixels",Main,False,0,100
35,MOV_h264_3000Kbps_720p.spfx,"QuickTime video for progressive download on average broadband network connections.","","applaac ",ChannelModeStereo,0,None,44100,16,MCptH264,2800000,150%,BitRateModeTwoPassVBR,-1,852x480,10/Seconds,True,0,0,0,True,False,525000,True,CABAC,"Range 16-235, ITU-R Rec. BT.470-2",,"Top Field First",True,False,1,Progressive,3.1,0,0,0,0,0,,0,10,"Square Pixels",High,False,0,100
36,MOV_h264_512Kbps_288p.spfx,"QuickTime video for progressive download on average 3g network connections.","","applaac ",ChannelModeMono,0,None,22050,16,MCptH264,400000,150%,BitRateModeTwoPassVBR,-1,512x288,10/Seconds,True,0,0,0,True,False,75000,True,CAVLC,"Range 16-235, ITU-R Rec. BT.470-2",,"Top Field First",True,False,1,Progressive,3.1,0,0,0,0,0,,0,10,"Square Pixels",Baseline,False,0,100
37,MOV_h264_768Kbps_360p.spfx,"QuickTime video for progressive download on fast 3g network connections.","","applaac ",ChannelModeStereo,0,None,44100,16,MCptH264,600000,150%,BitRateModeTwoPassVBR,-1,640x360,10/Seconds,True,0,0,0,True,False,112500,True,CAVLC,"Range 16-235, ITU-R Rec. BT.470-2",,"Top Field First",True,False,1,Progressive,3.1,0,0,0,0,0,,0,10,"Square Pixels",Baseline,False,0,100
44,MP4_Blu-ray_24_1080p.spfx,"Recommended for use with DVD authoring applications for progressive source files having frame dimensions of 1920x1080 with 24fps.","Disc.Blu-ray Authoring.h264","MCptAC3 ",ChannelModeStereo,384000,"",48000,16,"MCpt264 ",25000000,120%,BitRateModeTwoPassVBR,24,1920x1080,10/Seconds,True,0,0,0,False,False,3750000,True,CABAC,"Range 16-235, ITU-R Rec. BT.470-2",False,"Top Field First",True,True,1,Progressive,4.1,0,0,0,0,3,2,0,10,"16:9 Display",High,False,0,100
45,MP4_Blu-ray_24_1440x1080p.spfx,"Recommended for use with DVD authoring applications for interlaced source files having frame dimensions of 1400x1080 with 24fps.","Disc.Blu-ray Authoring.h264","MCptAC3 ",ChannelModeStereo,384000,"",48000,16,"MCpt264 ",20000000,125%,BitRateModeTwoPassVBR,24,1440x1080,10/Seconds,True,0,0,0,False,False,3125000,True,CABAC,"Range 16-235, ITU-R Rec. BT.470-2",False,"Top Field First",True,True,1,Progressive,4.1,0,0,0,0,3,2,0,10,"16:9 Display",High,False,0,100
46,MP4_Blu-ray_24_720p.spfx,"Recommended for use with DVD authoring applications for progressive source files having frame dimensions of 1280x720 with 24fps.","Disc.Blu-ray Authoring.h264","MCptAC3 ",ChannelModeStereo,384000,"",48000,16,"MCpt264 ",15000000,135%,BitRateModeTwoPassVBR,24,1280x720,10/Seconds,True,0,0,0,False,False,2531250,True,CABAC,"Range 16-235, ITU-R Rec. BT.470-2",False,"Top Field First",True,True,1,Progressive,4.1,0,0,0,0,3,2,0,10,"16:9 Display",High,False,0,100
47,MP4_Blu-ray_25_1080i.spfx,"Recommended for use with DVD authoring applications for interlaced source files having frame dimensions of 1920x1080 with 25fps.","Disc.Blu-ray Authoring.h264","MCptAC3 ",ChannelModeStereo,384000,"",48000,16,"MCpt264 ",25000000,120%,BitRateModeTwoPassVBR,25,1920x1080,10/Seconds,True,0,0,0,False,False,3750000,True,CABAC,"Range 16-235, ITU-R Rec. BT.470-2",False,"Top Field First",True,True,1,Interlaced,4.1,0,0,0,0,3,2,0,10,"16:9 Display",High,False,0,100
48,MP4_Blu-ray_25_1440x1080i.spfx,"Recommended for use with DVD authoring applications for interlaced source files having frame dimensions of 1440x1080 with 25fps.","Disc.Blu-ray Authoring.h264","MCptAC3 ",ChannelModeStereo,384000,"",48000,16,"MCpt264 ",20000000,125%,BitRateModeTwoPassVBR,25,1440x1080,10/Seconds,True,0,0,0,False,False,3125000,True,CABAC,"Range 16-235, ITU-R Rec. BT.470-2",False,"Top Field First",True,True,1,Interlaced,4.1,0,0,0,0,3,2,0,10,"16:9 Display",High,False,0,100
