name,description,work_flow,audio_codec,audio_channel,audio_data_rate,audio_format,audio_sample_rate,audio_sample_size,video_codec,video_bit_rate,video_bit_rate_max_percent,video_bit_rate_method,video_frame_rate,video_frame_size,video_key_frame,id,aspect_ratio,field_encoding,field_order,film_mode_frame_rate_conversion,level,max_bit_rate_percent,motion_estimation_algorithm,motion_estimation_search_range,number_of_bpictures,profile,set_key_frame_at_scene_change,subpixel_motion_estimation,time_stamp_offset,use_4mv,use_deblocking_filter,use_intensity_compensation,use_variable_sized_transformation,write_hrd_parameter,write_seq_end_code
WMV.xss,,FormatTemplates.WindowsMedia,MCptMWMA,ChannelModeStereo,128000,"WMV (VC-1)",44100,16,"MCptVC1 ",768000,,BitRateModeOnePassVBR,-1,480x480,2/Seconds,244,16:9,Progressive,"Top Field First",Off,1,150,Fast,32,1,Advanced,True,"Quater Pixel",0,True,True,False,Off,False,False
WMV_1200Kbps_480p.spfx,"Windows Media video for progressive download on fast Wi-Fi network connections.","Web.Progressive Download.Windows Media Video",MCptMWMA,ChannelModeStereo,128000,"WMV (VC-1)",44100,16,"MCptVC1 ",990000,,BitRateModeTwoPassVBR,-1,852x480,10/Seconds,245,16:9,Progressive,"Top Field First",Off,1,150,Fast,32,0,Advanced,True,"Full Pixel",0,True,True,True,Off,False,False
WMV_2000Kbps_720p.spfx,"Windows Media video for progressive download on slow broadband network connections.","Web.Progressive Download.Windows Media Video",MCptMWMA,ChannelModeStereo,160000,"WMV (VC-1)",44100,16,"MCptVC1 ",1800000,,BitRateModeTwoPassVBR,-1,1280x720,10/Seconds,246,4:3,Progressive,"Top Field First",Off,100,150,Fast,32,0,Advanced,True,"Full Pixel",0,True,True,True,Off,False,False
WMV_3000Kbps_720p.spfx,"Windows Media video for progressive download on average broadband network connections.","Web.Progressive Download.Windows Media Video",MCptMWMA,ChannelModeStereo,160000,"WMV (VC-1)",44100,16,"MCptVC1 ",2800000,,BitRateModeTwoPassVBR,-1,1280x720,10/Seconds,247,4:3,Progressive,"Top Field First",Off,100,150,Fast,32,0,Advanced,True,"Full Pixel",0,True,True,True,Off,False,False
WMV_512Kbps_288p.spfx,"Windows Media video for progressive download on average 3g network connections.","Web.Progressive Download.Windows Media Video",MCptMWMA,ChannelModeStereo,64000,"WMV (VC-1)",44100,16,"MCptVC1 ",460000,,BitRateModeTwoPassVBR,-1,512x288,10/Seconds,248,4:3,Progressive,"Top Field First",Off,100,150,Fast,32,0,Advanced,True,"Full Pixel",0,True,True,True,Off,False,False
WMV_768Kbps_360p.spfx,"Windows Media video for progressive download on fast 3g network connections.","Web.Progressive Download.Windows Media Video",MCptMWMA,ChannelModeStereo,96000,"WMV (VC-1)",44100,16,"MCptVC1 ",600000,,BitRateModeTwoPassVBR,-1,640x360,10/Seconds,249,4:3,Progressive,"Top Field First",Off,1,150,Fast,32,0,Advanced,True,"Full Pixel",0,True,True,True,Off,False,False
WMV_Blu-ray_23.97_720p.spfx,"Recommended for use with DVD authoring applications for progressive source files having frame dimensions of 1920x1080 with 23.98fps.","Disc.Blu-ray Authoring.VC-1","MCptAC3 ",ChannelMode5_1,640000,"",48000,16,"MCptVC1 ",10400000,,BitRateModeTwoPassVBR,23.976,1280x720,10/Seconds,250,16:9,Progressive,"Top Field First",Off,3,133,Fast,32,0,Advanced,False,"Full Pixel",0,True,True,True,Off,True,True
WMV_Blu-ray_23.98_1080p.spfx,"Recommended for use with DVD authoring applications for interlaced source files having frame dimensions of 1920x1080 with 23.98fps.","Disc.Blu-ray Authoring.VC-1","MCptAC3 ",ChannelMode5_1,640000,"",48000,16,"MCptVC1 ",24000000,,BitRateModeTwoPassVBR,29.97,1920x1080,10/Seconds,251,16:9,"Interlaced MBAFF","Top Field First",Off,3,133,Fast,32,0,Advanced,False,"Half Pixel",0,True,True,True,Off,True,True
WMV_Blu-ray_24_1080p.spfx,"Recommended for use with Blu-ray authoring applications for progressive source files having frame dimensions of 1920x1080 with 24fps.","Disc.Blu-ray Authoring.VC-1","MCptAC3 ",ChannelMode5_1,640000,"",48000,16,"MCptVC1 ",24000000,,BitRateModeTwoPassVBR,24,1920x1080,10/Seconds,252,16:9,Progressive,"Top Field First",Off,3,133,Fast,16,0,Advanced,False,"Full Pixel",0,True,True,True,Off,True,True
WMV_Blu-ray_24_720p.spfx,"Recommended for use with DVD authoring applications for progressive source files having frame dimensions of 1280x720 with 24fps.","Disc.Blu-ray Authoring.VC-1","MCptAC3 ",ChannelMode5_1,640000,"",48000,16,"MCptVC1 ",10400000,,BitRateModeTwoPassVBR,24,1280x720,10/Seconds,253,16:9,Progressive,"Top Field First",Off,3,133,Fast,32,0,Advanced,False,"Full Pixel",0,True,True,True,Off,True,True
WMV_Blu-ray_50_1080i.spfx,"Recommended for use with Blu-ray authoring applications for interlaced source files having frame dimensions of 1920x1080 with 25fps.","Disc.Blu-ray Authoring.VC-1","MCptAC3 ",ChannelMode5_1,640000,"",48000,16,"MCptVC1 ",25000000,,BitRateModeTwoPassVBR,25,1920x1080,10/Seconds,254,16:9,"Interlaced MBAFF","Top Field First",Off,3,133,Fast,32,0,Advanced,True,"Full Pixel",0,True,True,True,Off,True,True
WMV_Blu-ray_50_720p.spfx,"Recommended for use with Blu-ray authoring applications for progressive source files having frame dimensions of 1280x720 with 50fps.","Disc.Blu-ray Authoring.VC-1","MCptAC3 ",ChannelMode5_1,640000,"",48000,16,"MCptVC1 ",21650000,,BitRateModeTwoPassVBR,50,1280x720,10/Seconds,255,16:9,Progressive,"Top Field First",Off,3,133,Fast,32,0,Advanced,False,"Full Pixel",0,True,True,True,Off,True,True
WMV_Blu-ray_60_1080i.spfx,"Recommended for use with Blu-ray authoring applications for interlaced source files having frame dimensions of 1920x1080 with 29.97fps.","Disc.Blu-ray Authoring.VC-1","MCptAC3 ",ChannelMode5_1,640000,"",48000,16,"MCptVC1 ",30000000,,BitRateModeTwoPassVBR,29.97,1920x1080,10/Seconds,256,16:9,"Interlaced MBAFF","Top Field First",Off,3,133,Fast,16,0,Advanced,False,"Full Pixel",0,True,True,True,Off,True,True
WMV_Blu-ray_60_720p.spfx,"Recommended for use with Blu-ray authoring applications for progressive source files having frame dimensions of 1280x720 with 60fps.","Disc.Blu-ray Authoring.VC-1","MCptAC3 ",ChannelMode5_1,640000,"",48000,16,"MCptVC1 ",25970000,,BitRateModeTwoPassVBR,59.94,1280x720,10/Frames,257,16:9,Progressive,"Top Field First",Off,3,133,Fast,32,0,Advanced,False,"Full Pixel",0,True,True,True,Off,True,True
