id,name,description,work_flow,audio_codec,audio_channel,audio_data_rate,audio_format,audio_sample_rate,audio_sample_size,video_codec,video_bit_rate,video_bit_rate_max_percent,video_bit_rate_method,video_frame_rate,video_frame_size,video_key_frame,auto_key_frames_enabled,auto_key_frame_threshold,compression_speed,drop_frames_to_maintain_data_rate,drop_frames_watermark,maximum_buffer_size,maximum_quality,minimum_distance_to_key_frame,minimum_quality,noise_sensitivity,optimal_buffer_level,profile,quality,sharpness,speed,starting_buffer_level,two_pass_vbr_bias,two_pass_vbr_max_section,two_pass_vbr_min_section,under_shoot_pct
11,FLV_F8_FLV_VP6_1200Kbps_480p.spfx,"Flash video for progressive download on fast Wi-Fi network connections.","Web.Progressive Download.Adobe Flash Video.Flash Video (.flv).F8 Progressive Download","SMI MP3 ",ChannelModeMono,128000,"Adobe Flash 8+ (FLV)",44100,16,ON2!VP62,990000,,BitRateModeTwoPassCBR,-1,852x480,10/Seconds,True,70,Best,False,20,6,100,10,0,0,10,VP6-E,54,5,12,6,70,400,40,100
12,FLV_F8_FLV_VP6_2000Kbps_720p.spfx,"Flash video for progressive download on slow broadband network connections.","Web.Progressive Download.Adobe Flash Video.Flash Video (.flv).F8 Progressive Download","SMI MP3 ",ChannelModeStereo,160000,"Adobe Flash 8+ (FLV)",44100,16,ON2!VP62,1800000,,BitRateModeTwoPassCBR,-1,1280x720,10/Seconds,True,70,Best,False,20,6,100,10,0,0,10,VP6-E,54,5,12,6,70,400,40,100
13,FLV_F8_FLV_VP6_3000Kbps_720p.spfx,"Flash video for progressive download on average broadband network connections.","Web.Progressive Download.Adobe Flash Video.Flash Video (.flv).F8 Progressive Download","SMI MP3 ",ChannelModeStereo,160000,"Adobe Flash 8+ (FLV)",44100,16,ON2!VP62,2800000,,BitRateModeTwoPassCBR,-1,1280x720,10/Seconds,True,70,Best,False,20,6,100,10,0,0,10,VP6-E,54,5,12,6,70,400,40,100
14,FLV_F8_FLV_VP6_512Kbps_288p.spfx,"Flash video for progressive download on average 3g network connections.","Web.Progressive Download.Adobe Flash Video.Flash Video (.flv).F8 Progressive Download","SMI MP3 ",ChannelModeMono,96000,"Adobe Flash 8+ (FLV)",44100,16,ON2!VP62,400000,,BitRateModeTwoPassCBR,-1,512x288,10/Seconds,True,70,Best,False,20,6,100,10,0,0,10,VP6-E,54,5,12,6,70,400,40,100
15,FLV_F8_FLV_VP6_768Kbps_360p.spfx,"Flash video for progressive download on fast 3g network connections.","Web.Progressive Download.Adobe Flash Video.Flash Video (.flv).F8 Progressive Download","SMI MP3 ",ChannelModeMono,96000,"Adobe Flash 8+ (FLV)",44100,16,ON2!VP62,600000,,BitRateModeTwoPassCBR,-1,640x360,10/Seconds,True,70,Best,False,20,6,100,10,0,0,10,VP6-E,54,5,12,6,70,400,40,100
16,FLV_YouTube_F8_240p.spfx,"Optimized output for YouTube upload of 240p source files.","Web.Destinations.YouTube.Flash Video (.flv)","SMI MP3 ",ChannelModeStereo,56000,"Adobe Flash 8+ (FLV)",22050,16,ON2!VP62,696000,,BitRateModeTwoPassCBR,-1,320x240,60/Frames,True,70,Best,False,20,6,100,10,0,0,10,VP6-E,54,5,12,6,70,400,40,100
220,SWF_F8_SWF_VP6_1200Kbps_480p.spfx,"Flash player video for progressive download on fast Wi-Fi network connections.","Web.Progressive Download.Adobe Flash Video.Flash Player (.swf).F8 Progressive Download","SMI MP3 ",ChannelModeStereo,128000,"Adobe Flash 8+ (FLV)",44100,16,ON2!VP62,990000,,BitRateModeTwoPassVBR,-1,852x480,10/Seconds,True,70,Best,False,20,6,100,10,0,0,10,VP6-S,54,5,12,6,70,400,40,100
221,SWF_F8_SWF_VP6_2000Kbps_720p.spfx,"Flash player video for progressive download on slow broadband network connections.","Web.Progressive Download.Adobe Flash Video.Flash Player (.swf).F8 Progressive Download","SMI MP3 ",ChannelModeStereo,160000,"Adobe Flash 8+ (FLV)",44100,16,ON2!VP62,1800000,,BitRateModeTwoPassVBR,-1,1280x720,10/Seconds,True,70,Best,False,20,6,100,10,0,0,10,VP6-S,54,5,12,6,70,400,40,100
222,SWF_F8_SWF_VP6_3000Kbps_720p.spfx,"Flash player video for progressive download on average broadband network connections.","Web.Progressive Download.Adobe Flash Video.Flash Player (.swf).F8 Progressive Download","SMI MP3 ",ChannelModeStereo,160000,"Adobe Flash 8+ (FLV)",44100,16,ON2!VP62,2800000,,BitRateModeTwoPassVBR,-1,1280x720,10/Seconds,True,70,Best,False,20,6,100,10,0,0,10,VP6-S,54,5,12,6,70,400,40,100
223,SWF_F8_SWF_VP6_512Kbps_288p.spfx,"Flash player video for progressive download on average 3g network connections.","Web.Progressive Download.Adobe Flash Video.Flash Player (.swf).F8 Progressive Download","SMI MP3 ",ChannelModeMono,96000,"Adobe Flash 8+ (FLV)",44100,16,ON2!VP62,400000,,BitRateModeTwoPassVBR,-1,512x288,10/Seconds,True,70,Best,False,20,6,100,10,0,0,10,VP6-E,54,5,12,6,70,400,40,100
224,SWF_F8_SWF_VP6_768Kbps_360p.spfx,"Flash player video for progressive download on fast 3g network connections.","Web.Progressive Download.Adobe Flash Video.Flash Player (.swf).F8 Progressive Download","SMI MP3 ",ChannelModeMono,96000,"Adobe Flash 8+ (FLV)",44100,16,ON2!VP62,600000,,BitRateModeTwoPassVBR,-1,640x360,10/Seconds,True,70,Best,False,20,6,100,10,0,0,10,VP6-E,54,5,12,6,70,400,40,100
