id,name,description,work_flow,audio_codec,audio_channel,audio_data_rate,audio_format,audio_sample_rate,audio_sample_size,video_codec,video_bit_rate,video_bit_rate_max_percent,video_bit_rate_method,video_frame_rate,video_frame_size,video_key_frame,adaptive_bframe_placement,adaptive_quant_brightness_base,adaptive_quant_contrast_base,ad_converter,adaptive_quant_complexity_base,alpha_deblocking,aspect_ratio,auto_key_frames_enabled,auto_key_frames,auto_key_frame_threshold,auto_level,automatic_settings_profile,bandwidth_filter,beta_deblocking,bframe_pyramid,bitrate_buffer,bitstream,bitstream_type,black_normalization_level,cabac,center_mix_level_loro,center_mix_level_ltrt,channemapping,color_depth,color_range_and_coeffients,compression_speed,constrained_quality_level,cpu_usage,crc,crf,cut_off_frequency,data_rate_automatic,decode_cpu_cores,dialog_normalization,dolby_surroundex,dolby_surround_mode,drop_frames_threshold,drop_frames_to_maintain_data_rate,drop_frames_watermark,drop_frame_time_code,enable_auto_alt_ref,encoder_mode,encode_type,encoding_threads,error_resilient,fake_interlaced,fast_decode,field_encoding,field_order,film_mode_frame_rate_conversion,fixed_iframe_distance,force_key_frame_every,frame_reordering,header_type,headphone_mode,hf_cut_off,hrd_conformance,idr_rate,input_filtering,input_filtering_dc_fitler,input_filtering_digital_deem_phasis,interlaced,interlace_mode,lagged_frames,level,lfe,lfe_low_pass_filter,line_mode_compression1,line_mode_compression2,max_bframe_size,max_brframe_size,max_iframe_size,maximum_buffer_size,maximum_quality,max_pframe_size,metadata,metadata_copyright_material,metadata_original_material,minimum_distance_to_key_frame,minimum_quality,mixing_level,motion_estimation_algorithm,motion_estimation_search_range,max_bit_rate_percent,noise_sensitivity,number_of_bframes,number_of_bpictures,number_of_reference_frames,number_of_slices,optimal_buffer_level,performance,pixel_aspect_ratio,preset,profile,quality,rate_control_resizing,rate_control_resizing_up_threshold,rate_control_resizing_down_threshold,rf_mode_compression1,rf_mode_compression2,room_type,set_key_frame_at_scene_change,sharpness,speed,starting_buffer_level,static_region_threshold,subpixel_motion_estimation,surround_channel,surround_channel_3d_attenuation,surround_channel_90degree_phase_shift,surround_mix_level_loro,surround_mix_level_ltrt,time_stamp_offset,tns,tune,two_pass_vbr_bias,two_pass_vbr_max_section,two_pass_vbr_min_section,under_shoot_pct,use_4mv,use_bslice_as_reference,use_deblocking_filter,use_intensity_compensation,use_variable_sized_transformation,vbv_buffer_initial,vbv_buffer_target,visual_tuning,write_hrd_parameter,write_seq_end_code,zero_latency
0,AAC.spfx,,FormatTemplates.AAC,"SMI AAC ",ChannelModeStereo,160000,None,44100,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AAC_128kbit_44kHz_stereo.spfx,"MPEG-4 Audio File with a .aac extension.","","SMI AAC ",ChannelModeStereo,128000,None,44100,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AAC_160kbit_44kHz_stereo.spfx,"MPEG-4 Audio File with a .aac extension.","","SMI AAC ",ChannelModeStereo,160000,None,44100,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,AAC_192kbit_44kHz_stereo.spfx,"MPEG-4 Audio File with a .aac extension.","","SMI AAC ",ChannelModeStereo,192000,None,44100,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,AAC_256kbit_48kHz_stereo.spfx,"MPEG-4 Audio File with a .aac extension.","","SMI AAC ",ChannelModeStereo,256000,None,48000,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,AAC_32kbit_32kHz_mono.spfx,"MPEG-4 Audio File with a .aac extension.","","SMI AAC+",ChannelModeMono,32000,None,32000,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,AAC_64kbit_44kHz_mono.spfx,"MPEG-4 Audio File with a .aac extension.","","SMI AAC ",ChannelModeMono,64000,None,44100,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,AC3.xss,,"FormatTemplates.ATSC A/52","MCptAC3 ",ChannelMode5_1,256000,"",48000,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,AC3_192kbit_48kHz_stereo.spfx,"Dolby Digital Audio Format","","MCptAC3 ",ChannelModeStereo,192000,"",48000,16,,,,,,,,,,,Standard,,,,,,,,Default,True,,,,"Main audio service: complete main (CM)",Independent,,,"-3.0 dB","-3.0 dB","Preset 4:  L,  R,  C, LFE,  Ls,   Rs",,,,,,,,,,,-27,"Not indicated","Not indicated",,,,,,"Dolby Digital",,,,,,,,,,,,,"Not indicated",,,,True,,,,,,,True,True,"Film standard compression","Film standard compression",,,,,,,True,,,,,105,,,,,,,,,,,,,,,,,,"Film standard compression","Film standard compression","Small room, flat monitor",,,,,,,False,,,"-3.0 dB","-3.0 dB",,,,,,,,,,,,,,,,,,
9,AC3_256kbit_48kHz_stereo.spfx,"","","MCptAC3 ",ChannelModeStereo,256000,"",48000,16,,,,,,,,,,,Standard,,,,,,,,Default,True,,,,"Main audio service: complete main (CM)",Independent,,,"-3.0 dB","-3.0 dB","Preset 4:  L,  R,  C, LFE,  Ls,   Rs",,,,,,,,,,,-27,"Not indicated","Not indicated",,,,,,"Dolby Digital",,,,,,,,,,,,,"Not indicated",,,,True,,,,,,,True,True,"Film standard compression","Film standard compression",,,,,,,True,,,,,105,,,,,,,,,,,,,,,,,,"Film standard compression","Film standard compression","Small room, flat monitor",,,,,,,False,,,"-3.0 dB","-3.0 dB",,,,,,,,,,,,,,,,,,
