id,name,description,work_flow,audio_codec,audio_channel,audio_data_rate,audio_format,audio_sample_rate,audio_sample_size,video_codec,video_bit_rate,video_bit_rate_max_percent,video_bit_rate_method,video_frame_rate,video_frame_size,video_key_frame
0,AAC.spfx,,FormatTemplates.AAC,"SMI AAC ",ChannelModeStereo,160000,None,44100,16,,,,,,,
1,AAC_128kbit_44kHz_stereo.spfx,"MPEG-4 Audio File with a .aac extension.","","SMI AAC ",ChannelModeStereo,128000,None,44100,16,,,,,,,
2,AAC_160kbit_44kHz_stereo.spfx,"MPEG-4 Audio File with a .aac extension.","","SMI AAC ",ChannelModeStereo,160000,None,44100,16,,,,,,,
3,AAC_192kbit_44kHz_stereo.spfx,"MPEG-4 Audio File with a .aac extension.","","SMI AAC ",ChannelModeStereo,192000,None,44100,16,,,,,,,
4,AAC_256kbit_48kHz_stereo.spfx,"MPEG-4 Audio File with a .aac extension.","","SMI AAC ",ChannelModeStereo,256000,None,48000,16,,,,,,,
5,AAC_32kbit_32kHz_mono.spfx,"MPEG-4 Audio File with a .aac extension.","","SMI AAC+",ChannelModeMono,32000,None,32000,16,,,,,,,
6,AAC_64kbit_44kHz_mono.spfx,"MPEG-4 Audio File with a .aac extension.","","SMI AAC ",ChannelModeMono,64000,None,44100,16,,,,,,,
7,AC3.xss,,"FormatTemplates.ATSC A/52","MCptAC3 ",ChannelMode5_1,256000,"",48000,16,,,,,,,
8,AC3_192kbit_48kHz_stereo.spfx,"Dolby Digital Audio Format","","MCptAC3 ",ChannelModeStereo,192000,"",48000,16,,,,,,,
9,AC3_256kbit_48kHz_stereo.spfx,"","","MCptAC3 ",ChannelModeStereo,256000,"",48000,16,,,,,,,
10,FLV.xss,,FormatTemplates.FLV,"Fraunhofer MP3",ChannelModeStereo,128000,"",44100,16,SPARKVideoCodec,256000,,BitRateModeSorensonTwoPassVBR,-1,320x240,30
11,FLV_F8_FLV_VP6_1200Kbps_480p.spfx,"Flash video for progressive download on fast Wi-Fi network connections.","Web.Progressive Download.Adobe Flash Video.Flash Video (.flv).F8 Progressive Download","SMI MP3 ",ChannelModeMono,128000,"Adobe Flash 8+ (FLV)",44100,16,ON2!VP62,990000,,BitRateModeTwoPassCBR,-1,852x480,10/Seconds
12,FLV_F8_FLV_VP6_2000Kbps_720p.spfx,"Flash video for progressive download on slow broadband network connections.","Web.Progressive Download.Adobe Flash Video.Flash Video (.flv).F8 Progressive Download","SMI MP3 ",ChannelModeStereo,160000,"Adobe Flash 8+ (FLV)",44100,16,ON2!VP62,1800000,,BitRateModeTwoPassCBR,-1,1280x720,10/Seconds
13,FLV_F8_FLV_VP6_3000Kbps_720p.spfx,"Flash video for progressive download on average broadband network connections.","Web.Progressive Download.Adobe Flash Video.Flash Video (.flv).F8 Progressive Download","SMI MP3 ",ChannelModeStereo,160000,"Adobe Flash 8+ (FLV)",44100,16,ON2!VP62,2800000,,BitRateModeTwoPassCBR,-1,1280x720,10/Seconds
14,FLV_F8_FLV_VP6_512Kbps_288p.spfx,"Flash video for progressive download on average 3g network connections.","Web.Progressive Download.Adobe Flash Video.Flash Video (.flv).F8 Progressive Download","SMI MP3 ",ChannelModeMono,96000,"Adobe Flash 8+ (FLV)",44100,16,ON2!VP62,400000,,BitRateModeTwoPassCBR,-1,512x288,10/Seconds
15,FLV_F8_FLV_VP6_768Kbps_360p.spfx,"Flash video for progressive download on fast 3g network connections.","Web.Progressive Download.Adobe Flash Video.Flash Video (.flv).F8 Progressive Download","SMI MP3 ",ChannelModeMono,96000,"Adobe Flash 8+ (FLV)",44100,16,ON2!VP62,600000,,BitRateModeTwoPassCBR,-1,640x360,10/Seconds
16,FLV_YouTube_F8_240p.spfx,"Optimized output for YouTube upload of 240p source files.","Web.Destinations.YouTube.Flash Video (.flv)","SMI MP3 ",ChannelModeStereo,56000,"Adobe Flash 8+ (FLV)",22050,16,ON2!VP62,696000,,BitRateModeTwoPassCBR,-1,320x240,60/Frames
17,M4A.spfx,,FormatTemplates.M4A,"SMI AAC ",ChannelModeStereo,160000,None,44100,16,,,,,,,
18,M4A_128kbit_44kHz_stereo.spfx,"MPEG-4 Audio Format with .m4a extension.","","SMI AAC ",ChannelModeStereo,128000,None,44100,16,,,,,,,
19,M4A_160kbit_44kHz_stereo.spfx,"MPEG-4 Audio Format with .m4a extension.","","SMI AAC ",ChannelModeStereo,160000,None,44100,16,,,,,,,
20,M4A_192kbit_44kHz_stereo.spfx,"MPEG-4 Audio Format with .m4a extension.","","SMI AAC ",ChannelModeStereo,192000,None,44100,16,,,,,,,
21,M4A_256kbit_48kHz_stereo.spfx,"","","SMI AAC ",ChannelModeStereo,256000,None,48000,16,,,,,,,
22,M4A_32kbit_32kHz_mono.spfx,"","","SMI AAC+",ChannelModeMono,32000,None,32000,16,,,,,,,
23,M4A_64kbit_44kHz_mono.spfx,"","","SMI AAC ",ChannelModeStereo,64000,None,44100,16,,,,,,,
24,MKV.spfx,,FormatTemplates.Matroska,"SMI VRBS",ChannelModeStereo,128000,None,44100,16,"ON2!VP8 ",990000,,BitRateModeTwoPassVBR,-1,852x480,10/Seconds
25,MKV_1200Kbps_480p.spfx,"Matroska video for progressive download on fast Wi-Fi network connections.","","SMI VRBS",ChannelModeStereo,128000,None,44100,16,"ON2!VP8 ",990000,,BitRateModeTwoPassVBR,-1,852x480,10/Seconds
26,MKV_2000Kbps_720p.spfx,"Matroska video for progressive download on slow broadband network connections.","","SMI VRBS",ChannelModeStereo,160000,None,44100,16,"ON2!VP8 ",1800000,,BitRateModeTwoPassVBR,-1,1280x720,10/Frames
27,MKV_3000Kbps_720p.spfx,"Matroska video for progressive download on average broadband network connections.","","SMI VRBS",ChannelModeStereo,160000,None,44100,16,"ON2!VP8 ",2800000,,BitRateModeTwoPassVBR,-1,1280x720,10/Seconds
