id,name,description,work_flow,audio_codec,audio_channel,audio_data_rate,audio_format,audio_sample_rate,audio_sample_size,video_codec,video_bit_rate,video_bit_rate_max_percent,video_bit_rate_method,video_frame_rate,video_frame_size,video_key_frame,alpha_deblocking,beta_deblocking,crf,fake_interlaced,fast_decode,field_order,interlaced,level,preset,profile,tune,zero_latency
54,MP4_Gen1_x264_1400Kbps_480p.spfx,"AVC Baseline Profile. Compatible with Apple TV (1G), iPad, and iPhone/iPod touch, and Android (1G) devices.","Devices.Apple/Android/Connected Devices Hybrid.Gen 1.x264",AACAudioCodec,ChannelModeStereo,128000,None,48000,16,x264H264,1272000,200%,BitRateModeTwoPassVBR,-1,640x480,10/Seconds,0,0,2.300000000000e+01,False,False,"Top Field First",False,3.0,medium,baseline,none,False
55,MP4_Gen1_x264_2500Kbps_480p.spfx,"AVC Baseline Profile. Compatible with Apple TV (1G), iPad, and iPhone/iPod touch, and Android (1G) devices.","Devices.Apple/Android/Connected Devices Hybrid.Gen 1.x264",AACAudioCodec,ChannelModeStereo,128000,None,44100,16,x264H264,1400000,180%,BitRateModeTwoPassVBR,-1,640x480,10/Seconds,0,0,2.300000000000e+01,False,False,"Top Field First",False,3.0,medium,baseline,none,False
56,MP4_Gen1_x264_720Kbps_480p.spfx,"AVC Baseline Profile. Compatible with Apple TV (1G), iPad, and iPhone/iPod touch, and Android (1G) devices.","Devices.Apple/Android/Connected Devices Hybrid.Gen 1.x264",AACAudioCodec,ChannelModeStereo,128000,None,44100,16,x264H264,592000,129%,BitRateModeTwoPassVBR,-1,640x480,10/Seconds,0,0,2.300000000000e+01,False,False,"Top Field First",False,3.0,medium,baseline,none,False
60,MP4_Gen2_x264_1400Kbps_480p.spfx,"AVC Main Profile. Compatible with Apple TV (2G), iPad, and iPhone/iPod touch, and Android (2G) devices.","Devices.Apple/Android/Connected Devices Hybrid.Gen 2.x264",AACAudioCodec,ChannelModeStereo,128000,None,44100,16,x264H264,1200000,116%,BitRateModeTwoPassVBR,-1,640x480,10/Seconds,0,0,2.300000000000e+01,False,False,"Top Field First",False,3.0,medium,main,none,False
61,MP4_Gen2_x264_2500Kbps_480p.spfx,"AVC Main Profile. Compatible with Apple TV (2G), iPad, and iPhone/iPod touch, and Android (2G) devices.","Devices.Apple/Android/Connected Devices Hybrid.Gen 2.x264",AACAudioCodec,ChannelModeStereo,160000,None,44100,16,x264H264,1400000,178%,BitRateModeTwoPassVBR,-1,640x480,10/Seconds,0,0,2.300000000000e+01,False,False,"Top Field First",False,3.0,medium,main,none,False
62,MP4_Gen2_x264_720Kbps_480p.spfx,"AVC Main Profile. Compatible with Apple TV (2G), iPad, and iPhone/iPod touch, and Android (2G) devices.","Devices.Apple/Android/Connected Devices Hybrid.Gen 2.x264",AACAudioCodec,ChannelModeStereo,128000,None,44100,16,x264H264,592000,129%,BitRateModeTwoPassVBR,-1,640x480,10/Seconds,0,0,2.300000000000e+01,False,False,"Top Field First",False,3.0,medium,main,none,False
66,MP4_Gen3_x264_10Mbps_720p.spfx,"AVC High Profilie. Compatible with Apple TV (2G), iPad, and iPhone/iPod touch with Retina Display, and Android (3G) devices.","Devices.Apple/Android/Connected Devices Hybrid.Gen 3.x264",AACAudioCodec,ChannelModeStereo,160000,None,44100,16,x264H264,7100000,140%,BitRateModeTwoPassVBR,-1,1280x720,10/Seconds,0,0,2.300000000000e+01,False,False,"Top Field First",False,,medium,high,none,False
67,MP4_Gen3_x264_2500Kbps_720p.spfx,"AVC High Profilie. Compatible with Apple TV (2G), iPad, and iPhone/iPod touch with Retina Display, and Android (3G) devices.","Devices.Apple/Android/Connected Devices Hybrid.Gen 3.x264",AACAudioCodec,ChannelModeStereo,160000,None,44100,16,x264H264,1400000,178%,BitRateModeTwoPassVBR,-1,1280x720,10/Seconds,0,0,2.300000000000e+01,False,False,"Top Field First",False,,medium,high,none,False
68,MP4_Gen3_x264_5Mbps_720p.spfx,"AVC High Profilie. Compatible with Apple TV (2G), iPad, and iPhone/iPod touch with Retina Display, and Android (3G) devices.","Devices.Apple/Android/Connected Devices Hybrid.Gen 3.x264",AACAudioCodec,ChannelModeStereo,192000,None,44100,16,x264H264,2800000,178%,BitRateModeTwoPassVBR,-1,1280x720,10/Seconds,0,0,2.300000000000e+01,False,False,"Top Field First",False,,medium,high,none,False
113,MP4_YouTube_x264_1080p.spfx,"Optimized output for YouTube upload of 1080p source files.",Web.Destinations.YouTube.x264,AACAudioCodec,ChannelModeStereo,256000,None,44100,16,x264H264,6000000,160%,BitRateModeTwoPassVBR,-1,1920x1080,300/Frames,0,0,2.300000000000e+01,False,False,"Top Field First",False,,medium,high,none,False
114,MP4_YouTube_x264_240p.spfx,"Optimized output for YouTube upload of 240p source files.",Web.Destinations.YouTube.x264,AACAudioCodec,ChannelModeStereo,64000,None,44100,16,x264H264,660000,160%,BitRateModeOnePassCBR,-1,320x240,300/Frames,0,0,2.300000000000e+01,False,False,"Top Field First",False,,medium,high,none,False
115,MP4_YouTube_x264_480p.spfx,"Optimized output for YouTube upload of 480p source files.",Web.Destinations.YouTube.x264,AACAudioCodec,ChannelModeStereo,192000,None,44100,16,x264H264,2000000,160%,BitRateModeTwoPassVBR,-1,640x480,300/Frames,0,0,2.300000000000e+01,False,False,"Top Field First",False,,medium,high,none,False
