file,size,speed,time
full_256k-00001.ts,257560,1.92MB/s,0:00:00
full_256k-00002.ts,272036,1.49MB/s,0:00:00
full_256k-00003.ts,314900,1.46MB/s,0:00:00
full_256k-00004.ts,619084,88.39kB/s,0:00:06
full_256k-00005.ts,342912,84.29kB/s,0:00:03
full_256k-00006.ts,400816,62.65kB/s,0:00:06
full_256k-00007.ts,406080,65.75kB/s,0:00:06
full_256k-00008.ts,426384,66.37kB/s,0:00:06
full_256k-00009.ts,337084,82.94kB/s,0:00:03
full_256k-00010.ts,200408,88.04kB/s,0:00:02
full_256k-00011.ts,212440,87.60kB/s,0:00:02
ipad_256k-00001.ts,235940,105.94kB/s,0:00:02
ipad_256k-00002.ts,236128,89.30kB/s,0:00:02
ipad_256k-00003.ts,274480,67.62kB/s,0:00:03
ipad_256k-00004.ts,539936,64.87kB/s,0:00:08
ipad_256k-00005.ts,281812,69.46kB/s,0:00:03
ipad_256k-00006.ts,347800,78.55kB/s,0:00:04
ipad_256k-00007.ts,390100,62.99kB/s,0:00:06
ipad_256k-00008.ts,390852,62.38kB/s,0:00:06
ipad_256k-00009.ts,322044,77.04kB/s,0:00:04
ipad_256k-00010.ts,182924,86.76kB/s,0:00:02
ipad_256k-00011.ts,183112,85.93kB/s,0:00:02
spotlight_full_256k.m3u8,699,48.76kB/s,0:00:00
spotlight_ipad_256k.m3u8,699,48.76kB/s,0:00:00
spotlight/command.txt,100%,2.51kB/s,0:00:00
spotlight/keymap.txt,418,29.16kB/s,0:00:00
spotlight/slow_speech_spotlight.mov,7149761,63.70kB/s,0:01:49
spotlight/slow_speech_spotlight_av.mov,8323407,69.99kB/s,0:01:56
spotlight/spotlight.mp4,3505298,63.58kB/s,0:00:53
spotlight/spotlight.txt,1286,1.23MB/s,0:00:00
spotlight/spotlight.txt.aif,4583856,75.54kB/s,0:00:59
spotlight/spotlight.txt.aif.m4a,875867,60.50kB/s,0:00:14
spotlight/spotlight.txt.aif.mp3,787002,95.05kB/s,0:00:08
spotlight/spotlight_full.mp4,3425314,62.42kB/s,0:00:53
spotlight/spotlight_fullv.mp4,2558704,64.88kB/s,0:00:38
spotlight/spotlight_ipad.mp4,3050997,63.37kB/s,0:00:47
spotlight/spotlight_ipadv.mp4,2184371,64.92kB/s,0:00:32
total,44795652,63.35kB/s,0:09:05
